"Cycle 2:Pt #002:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.250000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
6.815620e+002,2.366650e+004,2.244808e+004,2.244808e+004,,8.051180e+002,1.893320e+004,1.795846e+004,1.795846e+004
6.816620e+002,2.360090e+004,2.244258e+004,2.244258e+004,,8.050180e+002,1.888072e+004,1.795406e+004,1.795406e+004
6.817620e+002,2.354160e+004,2.243734e+004,2.243734e+004,,8.049180e+002,1.883328e+004,1.794987e+004,1.794987e+004
6.818620e+002,2.366930e+004,2.243146e+004,2.243146e+004,,8.048180e+002,1.893544e+004,1.794517e+004,1.794517e+004
6.819620e+002,2.386830e+004,2.242461e+004,2.242461e+004,,8.047180e+002,1.909464e+004,1.793969e+004,1.793969e+004
6.820620e+002,2.383590e+004,2.241788e+004,2.241788e+004,,8.046180e+002,1.906872e+004,1.793430e+004,1.793430e+004
6.821620e+002,2.377510e+004,2.241141e+004,2.241141e+004,,8.045180e+002,1.902008e+004,1.792913e+004,1.792913e+004
6.822620e+002,2.383950e+004,2.240460e+004,2.240460e+004,,8.044180e+002,1.907160e+004,1.792368e+004,1.792368e+004
6.823620e+002,2.407550e+004,2.239663e+004,2.239663e+004,,8.043180e+002,1.926040e+004,1.791730e+004,1.791730e+004
6.824620e+002,2.449990e+004,2.238660e+004,2.238660e+004,,8.042180e+002,1.959992e+004,1.790928e+004,1.790928e+004
6.825620e+002,2.403530e+004,2.237874e+004,2.237874e+004,,8.041180e+002,1.922824e+004,1.790299e+004,1.790299e+004
6.826620e+002,2.368170e+004,2.237252e+004,2.237252e+004,,8.040180e+002,1.894536e+004,1.789802e+004,1.789802e+004
6.827620e+002,2.417080e+004,2.236395e+004,2.236395e+004,,8.039180e+002,1.933664e+004,1.789116e+004,1.789116e+004
6.828620e+002,2.449320e+004,2.235379e+004,2.235379e+004,,8.038180e+002,1.959456e+004,1.788304e+004,1.788304e+004
6.829620e+002,2.441490e+004,2.234396e+004,2.234396e+004,,8.037180e+002,1.953192e+004,1.787517e+004,1.787517e+004
6.830620e+002,2.447570e+004,2.233380e+004,2.233380e+004,,8.036180e+002,1.958056e+004,1.786704e+004,1.786704e+004
6.831620e+002,2.476060e+004,2.232223e+004,2.232223e+004,,8.035180e+002,1.980848e+004,1.785778e+004,1.785778e+004
6.832620e+002,2.486080e+004,2.231012e+004,2.231012e+004,,8.034180e+002,1.988864e+004,1.784810e+004,1.784810e+004
6.833620e+002,2.484380e+004,2.229804e+004,2.229804e+004,,8.033180e+002,1.987504e+004,1.783843e+004,1.783843e+004
6.834620e+002,2.477510e+004,2.228622e+004,2.228622e+004,,8.032180e+002,1.982008e+004,1.782898e+004,1.782898e+004
6.835620e+002,2.488610e+004,2.227383e+004,2.227383e+004,,8.031180e+002,1.990888e+004,1.781906e+004,1.781906e+004
6.836620e+002,2.538740e+004,2.225898e+004,2.225898e+004,,8.030180e+002,2.030992e+004,1.780718e+004,1.780718e+004
6.837620e+002,2.511870e+004,2.224534e+004,2.224534e+004,,8.029180e+002,2.009496e+004,1.779627e+004,1.779627e+004
6.838620e+002,2.518830e+004,2.223131e+004,2.223131e+004,,8.028180e+002,2.015064e+004,1.778504e+004,1.778504e+004
6.839620e+002,2.540050e+004,2.221619e+004,2.221619e+004,,8.027180e+002,2.032040e+004,1.777295e+004,1.777295e+004
6.840620e+002,2.545860e+004,2.220073e+004,2.220073e+004,,8.026180e+002,2.036688e+004,1.776058e+004,1.776058e+004
6.841620e+002,2.568260e+004,2.218413e+004,2.218413e+004,,8.025180e+002,2.054608e+004,1.774730e+004,1.774730e+004
6.842620e+002,2.533910e+004,2.216908e+004,2.216908e+004,,8.024180e+002,2.027128e+004,1.773526e+004,1.773526e+004
6.843620e+002,2.548510e+004,2.215327e+004,2.215327e+004,,8.023180e+002,2.038808e+004,1.772261e+004,1.772261e+004
6.844620e+002,2.565250e+004,2.213658e+004,2.213658e+004,,8.022180e+002,2.052200e+004,1.770926e+004,1.770926e+004
6.845620e+002,2.543500e+004,2.212085e+004,2.212085e+004,,8.021180e+002,2.034800e+004,1.769668e+004,1.769668e+004
6.846620e+002,2.558670e+004,2.210432e+004,2.210432e+004,,8.020180e+002,2.046936e+004,1.768346e+004,1.768346e+004
6.847620e+002,2.580350e+004,2.208668e+004,2.208668e+004,,8.019180e+002,2.064280e+004,1.766934e+004,1.766934e+004
6.848620e+002,2.559630e+004,2.206994e+004,2.206994e+004,,8.018180e+002,2.047704e+004,1.765595e+004,1.765595e+004
6.849620e+002,2.559620e+004,2.205313e+004,2.205313e+004,,8.017180e+002,2.047696e+004,1.764250e+004,1.764250e+004
6.850620e+002,2.563470e+004,2.203605e+004,2.203605e+004,,8.016180e+002,2.050776e+004,1.762884e+004,1.762884e+004
6.851620e+002,2.539390e+004,2.202003e+004,2.202003e+004,,8.015180e+002,2.031512e+004,1.761603e+004,1.761603e+004
6.852620e+002,2.546300e+004,2.200362e+004,2.200362e+004,,8.014180e+002,2.037040e+004,1.760289e+004,1.760289e+004
6.853620e+002,2.565450e+004,2.198620e+004,2.198620e+004,,8.013180e+002,2.052360e+004,1.758896e+004,1.758896e+004
6.854620e+002,2.577100e+004,2.196816e+004,2.196816e+004,,8.012180e+002,2.061680e+004,1.757452e+004,1.757452e+004
6.855620e+002,2.534920e+004,2.195203e+004,2.195203e+004,,8.011180e+002,2.027936e+004,1.756163e+004,1.756163e+004
6.856620e+002,2.537070e+004,2.193573e+004,2.193573e+004,,8.010180e+002,2.029656e+004,1.754858e+004,1.754858e+004
6.857620e+002,2.542100e+004,2.191911e+004,2.191911e+004,,8.009180e+002,2.033680e+004,1.753529e+004,1.753529e+004
6.858620e+002,2.541950e+004,2.190242e+004,2.190242e+004,,8.008180e+002,2.033560e+004,1.752193e+004,1.752193e+004
6.859620e+002,2.563610e+004,2.188461e+004,2.188461e+004,,8.007180e+002,2.050888e+004,1.750769e+004,1.750769e+004
6.860620e+002,2.497650e+004,2.186987e+004,2.186987e+004,,8.006180e+002,1.998120e+004,1.749589e+004,1.749589e+004
6.861620e+002,2.480540e+004,2.185587e+004,2.185587e+004,,8.005180e+002,1.984432e+004,1.748469e+004,1.748469e+004
6.862620e+002,2.489970e+004,2.184135e+004,2.184135e+004,,8.004180e+002,1.991976e+004,1.747308e+004,1.747308e+004
6.863620e+002,2.490230e+004,2.182675e+004,2.182675e+004,,8.003180e+002,1.992184e+004,1.746140e+004,1.746140e+004
6.864620e+002,2.469130e+004,2.181309e+004,2.181309e+004,,8.002180e+002,1.975304e+004,1.745047e+004,1.745047e+004
6.865620e+002,2.469010e+004,2.179937e+004,2.179937e+004,,8.001180e+002,1.975208e+004,1.743950e+004,1.743950e+004
6.866620e+002,2.467340e+004,2.178567e+004,2.178567e+004,,8.000180e+002,1.973872e+004,1.742853e+004,1.742853e+004
6.867620e+002,2.440950e+004,2.177315e+004,2.177315e+004,,7.999180e+002,1.952760e+004,1.741852e+004,1.741852e+004
6.868620e+002,2.471220e+004,2.175914e+004,2.175914e+004,,7.998180e+002,1.976976e+004,1.740731e+004,1.740731e+004
6.869620e+002,2.443720e+004,2.174637e+004,2.174637e+004,,7.997180e+002,1.954976e+004,1.739709e+004,1.739709e+004
6.870620e+002,2.439010e+004,2.173376e+004,2.173376e+004,,7.996180e+002,1.951208e+004,1.738701e+004,1.738701e+004
6.871620e+002,2.410070e+004,2.172247e+004,2.172247e+004,,7.995180e+002,1.928056e+004,1.737798e+004,1.737798e+004
6.872620e+002,2.408570e+004,2.171120e+004,2.171120e+004,,7.994180e+002,1.926856e+004,1.736896e+004,1.736896e+004
6.873620e+002,2.415620e+004,2.169954e+004,2.169954e+004,,7.993180e+002,1.932496e+004,1.735963e+004,1.735963e+004
6.874620e+002,2.448100e+004,2.168628e+004,2.168628e+004,,7.992180e+002,1.958480e+004,1.734902e+004,1.734902e+004
6.875620e+002,2.403210e+004,2.167509e+004,2.167509e+004,,7.991180e+002,1.922568e+004,1.734007e+004,1.734007e+004
6.876620e+002,2.421090e+004,2.166300e+004,2.166300e+004,,7.990180e+002,1.936872e+004,1.733040e+004,1.733040e+004
6.877620e+002,2.426530e+004,2.165059e+004,2.165059e+004,,7.989180e+002,1.941224e+004,1.732047e+004,1.732047e+004
6.878620e+002,2.381130e+004,2.164028e+004,2.164028e+004,,7.988180e+002,1.904904e+004,1.731223e+004,1.731223e+004
6.879620e+002,2.431560e+004,2.162753e+004,2.162753e+004,,7.987180e+002,1.945248e+004,1.730202e+004,1.730202e+004
6.880620e+002,2.431220e+004,2.161472e+004,2.161472e+004,,7.986180e+002,1.944976e+004,1.729178e+004,1.729178e+004
6.881620e+002,2.452380e+004,2.160085e+004,2.160085e+004,,7.985180e+002,1.961904e+004,1.728068e+004,1.728068e+004
6.882620e+002,2.431490e+004,2.158791e+004,2.158791e+004,,7.984180e+002,1.945192e+004,1.727033e+004,1.727033e+004
6.883620e+002,2.459210e+004,2.157358e+004,2.157358e+004,,7.983180e+002,1.967368e+004,1.725886e+004,1.725886e+004
6.884620e+002,2.457320e+004,2.155928e+004,2.155928e+004,,7.982180e+002,1.965856e+004,1.724742e+004,1.724742e+004
6.885620e+002,2.472480e+004,2.154418e+004,2.154418e+004,,7.981180e+002,1.977984e+004,1.723534e+004,1.723534e+004
6.886620e+002,2.513690e+004,2.152705e+004,2.152705e+004,,7.980180e+002,2.010952e+004,1.722164e+004,1.722164e+004
6.887620e+002,2.514100e+004,2.150981e+004,2.150981e+004,,7.979180e+002,2.011280e+004,1.720785e+004,1.720785e+004
6.888620e+002,2.505940e+004,2.149289e+004,2.149289e+004,,7.978180e+002,2.004752e+004,1.719431e+004,1.719431e+004
6.889620e+002,2.539430e+004,2.147428e+004,2.147428e+004,,7.977180e+002,2.031544e+004,1.717942e+004,1.717942e+004
6.890620e+002,2.524170e+004,2.145631e+004,2.145631e+004,,7.976180e+002,2.019336e+004,1.716505e+004,1.716505e+004
6.891620e+002,2.547900e+004,2.143713e+004,2.143713e+004,,7.975180e+002,2.038320e+004,1.714970e+004,1.714970e+004
6.892620e+002,2.567650e+004,2.141691e+004,2.141691e+004,,7.974180e+002,2.054120e+004,1.713353e+004,1.713353e+004
6.893620e+002,2.585770e+004,2.139574e+004,2.139574e+004,,7.973180e+002,2.068616e+004,1.711659e+004,1.711659e+004
6.894620e+002,2.592990e+004,2.137411e+004,2.137411e+004,,7.972180e+002,2.074392e+004,1.709929e+004,1.709929e+004
6.895620e+002,2.616610e+004,2.135126e+004,2.135126e+004,,7.971180e+002,2.093288e+004,1.708101e+004,1.708101e+004
6.896620e+002,2.609470e+004,2.132864e+004,2.132864e+004,,7.970180e+002,2.087576e+004,1.706291e+004,1.706291e+004
6.897620e+002,2.655860e+004,2.130370e+004,2.130370e+004,,7.969180e+002,2.124688e+004,1.704296e+004,1.704296e+004
6.898620e+002,2.690290e+004,2.127700e+004,2.127700e+004,,7.968180e+002,2.152232e+004,1.702160e+004,1.702160e+004
6.899620e+002,2.655390e+004,2.125183e+004,2.125183e+004,,7.967180e+002,2.124312e+004,1.700147e+004,1.700147e+004
6.900620e+002,2.683570e+004,2.122520e+004,2.122520e+004,,7.966180e+002,2.146856e+004,1.698016e+004,1.698016e+004
6.901620e+002,2.666340e+004,2.119927e+004,2.119927e+004,,7.965180e+002,2.133072e+004,1.695942e+004,1.695942e+004
6.902620e+002,2.719460e+004,2.117068e+004,2.117068e+004,,7.964180e+002,2.175568e+004,1.693654e+004,1.693654e+004
6.903620e+002,2.685560e+004,2.114357e+004,2.114357e+004,,7.963180e+002,2.148448e+004,1.691486e+004,1.691486e+004
6.904620e+002,2.720490e+004,2.111466e+004,2.111466e+004,,7.962180e+002,2.176392e+004,1.689173e+004,1.689173e+004
6.905620e+002,2.690350e+004,2.108706e+004,2.108706e+004,,7.961180e+002,2.152280e+004,1.686965e+004,1.686965e+004
6.906620e+002,2.718240e+004,2.105799e+004,2.105799e+004,,7.960180e+002,2.174592e+004,1.684639e+004,1.684639e+004
6.907620e+002,2.700890e+004,2.102961e+004,2.102961e+004,,7.959180e+002,2.160712e+004,1.682369e+004,1.682369e+004
6.908620e+002,2.709810e+004,2.100067e+004,2.100067e+004,,7.958180e+002,2.167848e+004,1.680054e+004,1.680054e+004
6.909620e+002,2.709480e+004,2.097161e+004,2.097161e+004,,7.957180e+002,2.167584e+004,1.677729e+004,1.677729e+004
6.910620e+002,2.689870e+004,2.094334e+004,2.094334e+004,,7.956180e+002,2.151896e+004,1.675468e+004,1.675468e+004
6.911620e+002,2.698210e+004,2.091455e+004,2.091455e+004,,7.955180e+002,2.158568e+004,1.673164e+004,1.673164e+004
6.912620e+002,2.678210e+004,2.088656e+004,2.088656e+004,,7.954180e+002,2.142568e+004,1.670925e+004,1.670925e+004
6.913620e+002,2.654380e+004,2.085959e+004,2.085959e+004,,7.953180e+002,2.123504e+004,1.668767e+004,1.668767e+004
6.914620e+002,2.633480e+004,2.083348e+004,2.083348e+004,,7.952180e+002,2.106784e+004,1.666678e+004,1.666678e+004
6.915620e+002,2.608480e+004,2.080843e+004,2.080843e+004,,7.951180e+002,2.086784e+004,1.664675e+004,1.664675e+004
6.916620e+002,2.572960e+004,2.078496e+004,2.078496e+004,,7.950180e+002,2.058368e+004,1.662797e+004,1.662797e+004
6.917620e+002,2.562480e+004,2.076188e+004,2.076188e+004,,7.949180e+002,2.049984e+004,1.660951e+004,1.660951e+004
6.918620e+002,2.563940e+004,2.073862e+004,2.073862e+004,,7.948180e+002,2.051152e+004,1.659090e+004,1.659090e+004
6.919620e+002,2.508980e+004,2.071787e+004,2.071787e+004,,7.947180e+002,2.007184e+004,1.657430e+004,1.657430e+004
6.920620e+002,2.535620e+004,2.069575e+004,2.069575e+004,,7.946180e+002,2.028496e+004,1.655660e+004,1.655660e+004
6.921620e+002,2.480430e+004,2.067616e+004,2.067616e+004,,7.945180e+002,1.984344e+004,1.654093e+004,1.654093e+004
6.922620e+002,2.454690e+004,2.065770e+004,2.065770e+004,,7.944180e+002,1.963752e+004,1.652616e+004,1.652616e+004
6.923620e+002,2.446500e+004,2.063955e+004,2.063955e+004,,7.943180e+002,1.957200e+004,1.651164e+004,1.651164e+004
6.924620e+002,2.407300e+004,2.062317e+004,2.062317e+004,,7.942180e+002,1.925840e+004,1.649854e+004,1.649854e+004
6.925620e+002,2.385260e+004,2.060777e+004,2.060777e+004,,7.941180e+002,1.908208e+004,1.648622e+004,1.648622e+004
