"Cycle 1:CoEchem1:F1s Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.000000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
8.029240e+002,1.117940e+004,9.021552e+003,9.021552e+003,,6.837560e+002,1.117940e+004,9.021552e+003,9.021552e+003
8.030240e+002,1.140570e+004,9.018290e+003,9.018290e+003,,6.836560e+002,1.140570e+004,9.018290e+003,9.018290e+003
8.031240e+002,1.120230e+004,9.015302e+003,9.015302e+003,,6.835560e+002,1.120230e+004,9.015302e+003,9.015302e+003
8.032240e+002,1.093020e+004,9.012682e+003,9.012682e+003,,6.834560e+002,1.093020e+004,9.012682e+003,9.012682e+003
8.033240e+002,1.096220e+004,9.010015e+003,9.010015e+003,,6.833560e+002,1.096220e+004,9.010015e+003,9.010015e+003
8.034240e+002,1.091150e+004,9.007414e+003,9.007414e+003,,6.832560e+002,1.091150e+004,9.007414e+003,9.007414e+003
8.035240e+002,1.072580e+004,9.005063e+003,9.005063e+003,,6.831560e+002,1.072580e+004,9.005063e+003,9.005063e+003
8.036240e+002,1.046480e+004,9.003065e+003,9.003065e+003,,6.830560e+002,1.046480e+004,9.003065e+003,9.003065e+003
8.037240e+002,1.025340e+004,9.001355e+003,9.001355e+003,,6.829560e+002,1.025340e+004,9.001355e+003,9.001355e+003
8.038240e+002,1.028320e+004,8.999601e+003,8.999601e+003,,6.828560e+002,1.028320e+004,8.999601e+003,8.999601e+003
8.039240e+002,1.028280e+004,8.997845e+003,8.997845e+003,,6.827560e+002,1.028280e+004,8.997845e+003,8.997845e+003
8.040240e+002,9.955590e+003,8.996535e+003,8.996535e+003,,6.826560e+002,9.955590e+003,8.996535e+003,8.996535e+003
8.041240e+002,9.919470e+003,8.995272e+003,8.995272e+003,,6.825560e+002,9.919470e+003,8.995272e+003,8.995272e+003
8.042240e+002,9.771160e+003,8.994211e+003,8.994211e+003,,6.824560e+002,9.771160e+003,8.994211e+003,8.994211e+003
8.043240e+002,9.597990e+003,8.993385e+003,8.993385e+003,,6.823560e+002,9.597990e+003,8.993385e+003,8.993385e+003
8.044240e+002,9.603680e+003,8.992550e+003,8.992550e+003,,6.822560e+002,9.603680e+003,8.992550e+003,8.992550e+003
8.045240e+002,9.643520e+003,8.991659e+003,8.991659e+003,,6.821560e+002,9.643520e+003,8.991659e+003,8.991659e+003
8.046240e+002,9.398070e+003,8.991103e+003,8.991103e+003,,6.820560e+002,9.398070e+003,8.991103e+003,8.991103e+003
8.047240e+002,9.337990e+003,8.990629e+003,8.990629e+003,,6.819560e+002,9.337990e+003,8.990629e+003,8.990629e+003
