"Cycle 1:CoOTf1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.41","781.87","786.28","796.79","802.65",
FWHM,,"3.66","3.66","5.74","3.79","4.78",
Area,,"54536.57","40670.65","60855.51","39905.07","31127.76",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.760620e+002,6.826310e+004,6.815104e+004,6.814876e+004,6.817362e+004,6.818636e+004,6.830708e+004,6.813807e+004,6.841461e+004,,8.106180e+002,3.413155e+004,3.407552e+004,3.407438e+004,3.408681e+004,3.409318e+004,3.415354e+004,3.406903e+004,3.420730e+004
6.761620e+002,6.833440e+004,6.815033e+004,6.814803e+004,6.817315e+004,6.818632e+004,6.831328e+004,6.813727e+004,6.842203e+004,,8.105180e+002,3.416720e+004,3.407517e+004,3.407402e+004,3.408657e+004,3.409316e+004,3.415664e+004,3.406863e+004,3.421102e+004
6.762620e+002,6.815770e+004,6.815034e+004,6.814802e+004,6.817338e+004,6.818698e+004,6.832079e+004,6.813718e+004,6.843077e+004,,8.104180e+002,3.407885e+004,3.407517e+004,3.407401e+004,3.408669e+004,3.409349e+004,3.416039e+004,3.406859e+004,3.421539e+004
6.763620e+002,6.819570e+004,6.815018e+004,6.814786e+004,6.817346e+004,6.818749e+004,6.832814e+004,6.813695e+004,6.843936e+004,,8.103180e+002,3.409785e+004,3.407509e+004,3.407393e+004,3.408673e+004,3.409375e+004,3.416407e+004,3.406847e+004,3.421968e+004
6.764620e+002,6.857980e+004,6.814847e+004,6.814614e+004,6.817198e+004,6.818644e+004,6.833394e+004,6.813515e+004,6.844639e+004,,8.102180e+002,3.428990e+004,3.407424e+004,3.407307e+004,3.408599e+004,3.409322e+004,3.416697e+004,3.406757e+004,3.422319e+004
6.765620e+002,6.831460e+004,6.814784e+004,6.814549e+004,6.817157e+004,6.818646e+004,6.834080e+004,6.813442e+004,6.845450e+004,,8.101180e+002,3.415730e+004,3.407392e+004,3.407275e+004,3.408579e+004,3.409323e+004,3.417040e+004,3.406721e+004,3.422725e+004
6.766620e+002,6.757130e+004,6.814566e+004,6.814330e+004,6.816962e+004,6.818507e+004,6.834613e+004,6.813215e+004,6.846119e+004,,8.100180e+002,3.378565e+004,3.407283e+004,3.407165e+004,3.408481e+004,3.409253e+004,3.417306e+004,3.406607e+004,3.423059e+004
6.767620e+002,6.848500e+004,6.814432e+004,6.814195e+004,6.816851e+004,6.818452e+004,6.835229e+004,6.813071e+004,6.846872e+004,,8.099180e+002,3.424250e+004,3.407216e+004,3.407097e+004,3.408425e+004,3.409226e+004,3.417614e+004,3.406536e+004,3.423436e+004
6.768620e+002,6.788210e+004,6.814341e+004,6.814103e+004,6.816783e+004,6.818440e+004,6.835888e+004,6.812971e+004,6.847669e+004,,8.098180e+002,3.394105e+004,3.407171e+004,3.407051e+004,3.408391e+004,3.409220e+004,3.417944e+004,3.406486e+004,3.423835e+004
6.769620e+002,6.850160e+004,6.814199e+004,6.813960e+004,6.816664e+004,6.818378e+004,6.836496e+004,6.812820e+004,6.848416e+004,,8.097180e+002,3.425080e+004,3.407100e+004,3.406980e+004,3.408332e+004,3.409189e+004,3.418248e+004,3.406410e+004,3.424208e+004
6.770620e+002,6.792050e+004,6.814125e+004,6.813884e+004,6.816612e+004,6.818383e+004,6.837887e+004,6.812736e+004,6.849944e+004,,8.096180e+002,3.396025e+004,3.407062e+004,3.406942e+004,3.408306e+004,3.409191e+004,3.418944e+004,3.406368e+004,3.424972e+004
6.771620e+002,6.810540e+004,6.814125e+004,6.813884e+004,6.816639e+004,6.818462e+004,6.839374e+004,6.812728e+004,6.851573e+004,,8.095180e+002,3.405270e+004,3.407063e+004,3.406942e+004,3.408319e+004,3.409231e+004,3.419687e+004,3.406364e+004,3.425787e+004
6.772620e+002,6.824770e+004,6.814086e+004,6.813844e+004,6.816627e+004,6.818502e+004,6.840820e+004,6.812679e+004,6.853164e+004,,8.094180e+002,3.412385e+004,3.407043e+004,3.406922e+004,3.408313e+004,3.409251e+004,3.420410e+004,3.406339e+004,3.426582e+004
6.773620e+002,6.765270e+004,6.813905e+004,6.813661e+004,6.816472e+004,6.818415e+004,6.842125e+004,6.812488e+004,6.854628e+004,,8.093180e+002,3.382635e+004,3.406953e+004,3.406831e+004,3.408236e+004,3.409207e+004,3.421062e+004,3.406244e+004,3.427314e+004
6.774620e+002,6.822990e+004,6.813873e+004,6.813627e+004,6.816466e+004,6.818478e+004,6.842350e+004,6.812445e+004,6.855014e+004,,8.092180e+002,3.411495e+004,3.406936e+004,3.406814e+004,3.408233e+004,3.409239e+004,3.421175e+004,3.406222e+004,3.427507e+004
6.775620e+002,6.886140e+004,6.813583e+004,6.813336e+004,6.816204e+004,6.818284e+004,6.843641e+004,6.812145e+004,6.856466e+004,,8.091180e+002,3.443070e+004,3.406792e+004,3.406668e+004,3.408102e+004,3.409142e+004,3.421820e+004,3.406073e+004,3.428233e+004
6.776620e+002,6.838260e+004,6.813487e+004,6.813239e+004,6.816134e+004,6.818283e+004,6.845271e+004,6.812039e+004,6.858258e+004,,8.090180e+002,3.419130e+004,3.406744e+004,3.406619e+004,3.408067e+004,3.409142e+004,3.422636e+004,3.406020e+004,3.429129e+004
6.777620e+002,6.886660e+004,6.813194e+004,6.812944e+004,6.815868e+004,6.818086e+004,6.846865e+004,6.811736e+004,6.860012e+004,,8.089180e+002,3.443330e+004,3.406597e+004,3.406472e+004,3.407934e+004,3.409043e+004,3.423432e+004,3.405868e+004,3.430006e+004
6.778620e+002,6.856150e+004,6.813024e+004,6.812773e+004,6.815724e+004,6.818011e+004,6.848761e+004,6.811556e+004,6.862070e+004,,8.088180e+002,3.428075e+004,3.406512e+004,3.406387e+004,3.407862e+004,3.409005e+004,3.424380e+004,3.405778e+004,3.431035e+004
6.779620e+002,6.826010e+004,6.812976e+004,6.812724e+004,6.815702e+004,6.818058e+004,6.850976e+004,6.811497e+004,6.864448e+004,,8.087180e+002,3.413005e+004,3.406488e+004,3.406362e+004,3.407851e+004,3.409029e+004,3.425488e+004,3.405748e+004,3.432224e+004
6.780620e+002,6.854690e+004,6.812811e+004,6.812558e+004,6.815564e+004,6.818008e+004,6.853295e+004,6.811321e+004,6.866949e+004,,8.086180e+002,3.427345e+004,3.406406e+004,3.406279e+004,3.407782e+004,3.409004e+004,3.426647e+004,3.405661e+004,3.433474e+004
