"Cycle 1:CoOTf1:S2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,5.000000e-001
Name,,"S 2p","S 2p",
Position,,"168.27","169.45",
FWHM,,"1.92","1.92",
Area,,"4559.66","2279.83",
Lineshape,,"LA(50)","LA(50)",
K.E.,Counts,"S 2p","S 2p",Background,Envelope,,B.E.,CPS,"S 2p","S 2p",Background CPS,Envelope CPS
1.317662e+003,2.185480e+003,1.806017e+003,1.575555e+003,1.126707e+003,2.254865e+003,,1.690180e+002,4.370960e+003,3.612034e+003,3.151111e+003,2.253415e+003,4.509730e+003
1.317762e+003,2.273890e+003,1.879934e+003,1.542127e+003,1.125403e+003,2.296657e+003,,1.689180e+002,4.547780e+003,3.759867e+003,3.084254e+003,2.250806e+003,4.593315e+003
1.317862e+003,2.332050e+003,1.950119e+003,1.505255e+003,1.124031e+003,2.331343e+003,,1.688180e+002,4.664100e+003,3.900238e+003,3.010510e+003,2.248062e+003,4.662686e+003
1.317962e+003,2.343490e+003,2.013836e+003,1.466390e+003,1.122644e+003,2.357582e+003,,1.687180e+002,4.686980e+003,4.027672e+003,2.932780e+003,2.245289e+003,4.715164e+003
1.318062e+003,2.411970e+003,2.068281e+003,1.426813e+003,1.121178e+003,2.373916e+003,,1.686180e+002,4.823940e+003,4.136563e+003,2.853626e+003,2.242357e+003,4.747832e+003
1.318162e+003,2.441210e+003,2.110978e+003,1.387783e+003,1.119677e+003,2.379083e+003,,1.685180e+002,4.882420e+003,4.221955e+003,2.775566e+003,2.239355e+003,4.758166e+003
1.318262e+003,2.386750e+003,2.139978e+003,1.350416e+003,1.118237e+003,2.372158e+003,,1.684180e+002,4.773500e+003,4.279957e+003,2.700832e+003,2.236473e+003,4.744316e+003
1.318362e+003,2.403100e+003,2.153748e+003,1.315436e+003,1.116776e+003,2.352408e+003,,1.683180e+002,4.806200e+003,4.307496e+003,2.630871e+003,2.233552e+003,4.704816e+003
1.318462e+003,2.376350e+003,2.151570e+003,1.283447e+003,1.115344e+003,2.319674e+003,,1.682180e+002,4.752700e+003,4.303141e+003,2.566895e+003,2.230687e+003,4.639348e+003
1.318562e+003,2.360450e+003,2.133475e+003,1.254767e+003,1.113928e+003,2.274315e+003,,1.681180e+002,4.720900e+003,4.266951e+003,2.509535e+003,2.227856e+003,4.548630e+003
1.318662e+003,2.180180e+003,2.100479e+003,1.229710e+003,1.112715e+003,2.217474e+003,,1.680180e+002,4.360360e+003,4.200958e+003,2.459420e+003,2.225431e+003,4.434947e+003
1.318762e+003,2.098600e+003,2.053981e+003,1.208113e+003,1.111594e+003,2.150501e+003,,1.679180e+002,4.197200e+003,4.107963e+003,2.416227e+003,2.223189e+003,4.301001e+003
1.318862e+003,2.049630e+003,1.996044e+003,1.189755e+003,1.110528e+003,2.075272e+003,,1.678180e+002,4.099260e+003,3.992089e+003,2.379511e+003,2.221056e+003,4.150543e+003
1.318962e+003,1.934390e+003,1.929290e+003,1.174439e+003,1.109591e+003,1.994138e+003,,1.677180e+002,3.868780e+003,3.858580e+003,2.348877e+003,2.219182e+003,3.988275e+003
1.319062e+003,1.839680e+003,1.856448e+003,1.161815e+003,1.108761e+003,1.909501e+003,,1.676180e+002,3.679360e+003,3.712895e+003,2.323630e+003,2.217522e+003,3.819003e+003
1.319162e+003,1.789180e+003,1.780252e+003,1.151479e+003,1.107987e+003,1.823744e+003,,1.675180e+002,3.578360e+003,3.560505e+003,2.302957e+003,2.215974e+003,3.647488e+003
1.319262e+003,1.776010e+003,1.703321e+003,1.143041e+003,1.107228e+003,1.739134e+003,,1.674180e+002,3.552020e+003,3.406641e+003,2.286082e+003,2.214455e+003,3.478268e+003
1.319362e+003,1.555060e+003,1.628243e+003,1.136416e+003,1.106718e+003,1.657940e+003,,1.673180e+002,3.110120e+003,3.256485e+003,2.272832e+003,2.213437e+003,3.315881e+003
1.319462e+003,1.496010e+003,1.556801e+003,1.131124e+003,1.106276e+003,1.581649e+003,,1.672180e+002,2.992020e+003,3.113602e+003,2.262247e+003,2.212552e+003,3.163298e+003
1.319562e+003,1.525600e+003,1.490396e+003,1.126810e+003,1.105799e+003,1.511406e+003,,1.671180e+002,3.051200e+003,2.980791e+003,2.253619e+003,2.211598e+003,3.022812e+003
1.319662e+003,1.511530e+003,1.430097e+003,1.123311e+003,1.105338e+003,1.448070e+003,,1.670180e+002,3.023060e+003,2.860194e+003,2.246621e+003,2.210675e+003,2.896140e+003
1.319762e+003,1.477730e+003,1.376506e+003,1.120473e+003,1.104914e+003,1.392065e+003,,1.669180e+002,2.955460e+003,2.753013e+003,2.240946e+003,2.209828e+003,2.784131e+003
1.319862e+003,1.309660e+003,1.329952e+003,1.118309e+003,1.104681e+003,1.343579e+003,,1.668180e+002,2.619320e+003,2.659904e+003,2.236618e+003,2.209363e+003,2.687159e+003
1.319962e+003,1.363170e+003,1.290014e+003,1.116869e+003,1.104388e+003,1.302496e+003,,1.667180e+002,2.726340e+003,2.580027e+003,2.233739e+003,2.208775e+003,2.604991e+003
1.320062e+003,1.272750e+003,1.256450e+003,1.115000e+003,1.104196e+003,1.267254e+003,,1.666180e+002,2.545500e+003,2.512900e+003,2.230001e+003,2.208392e+003,2.534509e+003
1.320162e+003,1.292970e+003,1.228570e+003,1.113919e+003,1.103981e+003,1.238508e+003,,1.665180e+002,2.585940e+003,2.457141e+003,2.227837e+003,2.207963e+003,2.477015e+003
1.320262e+003,1.265120e+003,1.205746e+003,1.112868e+003,1.103798e+003,1.214817e+003,,1.664180e+002,2.530240e+003,2.411493e+003,2.225737e+003,2.207596e+003,2.429633e+003
1.320362e+003,1.256940e+003,1.187254e+003,1.111827e+003,1.103624e+003,1.195457e+003,,1.663180e+002,2.513880e+003,2.374508e+003,2.223655e+003,2.207248e+003,2.390914e+003
1.320462e+003,1.340210e+003,1.172307e+003,1.110870e+003,1.103355e+003,1.179823e+003,,1.662180e+002,2.680420e+003,2.344615e+003,2.221740e+003,2.206710e+003,2.359645e+003
1.320562e+003,1.255760e+003,1.160452e+003,1.110190e+003,1.103182e+003,1.167461e+003,,1.661180e+002,2.511520e+003,2.320905e+003,2.220380e+003,2.206364e+003,2.334921e+003
1.320662e+003,1.243930e+003,1.151035e+003,1.109523e+003,1.103022e+003,1.157536e+003,,1.660180e+002,2.487860e+003,2.302069e+003,2.219047e+003,2.206043e+003,2.315073e+003
1.320762e+003,1.168730e+003,1.143638e+003,1.108942e+003,1.102947e+003,1.149632e+003,,1.659180e+002,2.337460e+003,2.287275e+003,2.217883e+003,2.205894e+003,2.299265e+003
1.320862e+003,1.210130e+003,1.137716e+003,1.108476e+003,1.102825e+003,1.143367e+003,,1.658180e+002,2.420260e+003,2.275432e+003,2.216952e+003,2.205650e+003,2.286734e+003
1.320962e+003,1.161240e+003,1.133034e+003,1.108073e+003,1.102759e+003,1.138349e+003,,1.657180e+002,2.322480e+003,2.266069e+003,2.216146e+003,2.205517e+003,2.276697e+003
