"Cycle 1:CoEchem1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.56","782.07","786.19","796.93","802.59",
FWHM,,"3.36","3.36","6.00","3.53","5.19",
Area,,"10393.60","7912.32","12828.12","7306.91","6166.48",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.751240e+002,2.767000e+004,2.767215e+004,2.767181e+004,2.767722e+004,2.767730e+004,2.769855e+004,2.767000e+004,2.771703e+004,,8.115560e+002,1.383500e+004,1.383608e+004,1.383591e+004,1.383861e+004,1.383865e+004,1.384927e+004,1.383500e+004,1.385852e+004
6.752240e+002,2.737870e+004,2.738087e+004,2.738052e+004,2.738598e+004,2.738610e+004,2.740799e+004,2.737870e+004,2.742667e+004,,8.114560e+002,1.368935e+004,1.369043e+004,1.369026e+004,1.369299e+004,1.369305e+004,1.370400e+004,1.368935e+004,1.371333e+004
6.753240e+002,2.724210e+004,2.724428e+004,2.724394e+004,2.724944e+004,2.724960e+004,2.727214e+004,2.724210e+004,2.729100e+004,,8.113560e+002,1.362105e+004,1.362214e+004,1.362197e+004,1.362472e+004,1.362480e+004,1.363607e+004,1.362105e+004,1.364550e+004
6.754240e+002,2.729200e+004,2.729419e+004,2.729385e+004,2.729940e+004,2.729961e+004,2.732279e+004,2.729200e+004,2.734184e+004,,8.112560e+002,1.364600e+004,1.364710e+004,1.364692e+004,1.364970e+004,1.364980e+004,1.366139e+004,1.364600e+004,1.367092e+004
6.755240e+002,2.728220e+004,2.728441e+004,2.728406e+004,2.728967e+004,2.728993e+004,2.731411e+004,2.728220e+004,2.733338e+004,,8.111560e+002,1.364110e+004,1.364220e+004,1.364203e+004,1.364483e+004,1.364496e+004,1.365706e+004,1.364110e+004,1.366669e+004
6.756240e+002,2.724820e+004,2.725042e+004,2.725008e+004,2.725573e+004,2.725604e+004,2.728139e+004,2.724820e+004,2.730086e+004,,8.110560e+002,1.362410e+004,1.362521e+004,1.362504e+004,1.362786e+004,1.362802e+004,1.364069e+004,1.362410e+004,1.365043e+004
6.757240e+002,2.760450e+004,2.760674e+004,2.760639e+004,2.761209e+004,2.761246e+004,2.763897e+004,2.760450e+004,2.765864e+004,,8.109560e+002,1.380225e+004,1.380337e+004,1.380319e+004,1.380604e+004,1.380623e+004,1.381948e+004,1.380225e+004,1.382932e+004
6.758240e+002,2.708800e+004,2.709025e+004,2.708990e+004,2.709565e+004,2.709608e+004,2.712374e+004,2.708800e+004,2.714362e+004,,8.108560e+002,1.354400e+004,1.354513e+004,1.354495e+004,1.354783e+004,1.354804e+004,1.356187e+004,1.354400e+004,1.357181e+004
6.759240e+002,2.711600e+004,2.711827e+004,2.711792e+004,2.712371e+004,2.712419e+004,2.715302e+004,2.711600e+004,2.717311e+004,,8.107560e+002,1.355800e+004,1.355913e+004,1.355896e+004,1.356186e+004,1.356210e+004,1.357651e+004,1.355800e+004,1.358655e+004
6.760240e+002,2.737110e+004,2.731564e+004,2.731528e+004,2.732113e+004,2.732166e+004,2.735165e+004,2.731335e+004,2.737194e+004,,8.106560e+002,1.368555e+004,1.365782e+004,1.365764e+004,1.366056e+004,1.366083e+004,1.367582e+004,1.365668e+004,1.368597e+004
